face	Iniciála	Částka	Zaplaceno	Poznámka
23.07	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
23.07	VD	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
26.07	HK	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
02.08	PSP	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
02.08	PS	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
22.07	RL	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
8.08	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
8.08	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
12.08	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
12.08	HK	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
12.08	VD	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
12.08	TCH	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
12.08	PST	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
12.08	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
15.08	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
16.08	HK	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
16.08	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
19.08	TCH	20,00 Kč	1	neomluvený pozdní příchod
19.08	HK	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
19.08	PSP	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
19.08	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
26.08	PST	20,00 Kč	1	neomluvený pozdní příchod
27.08	HK	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
30.08	ZM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
2.09	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
4.09	PS	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
5.09	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
10.09	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
10.09	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
13.09	PS	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
13.09	ZM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
13.09	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
16.09	VD	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
17.09	TCH	20,00 Kč	1	neomluvený pozdní příchod
25.09	TCH	20,00 Kč	1	neomluvený pozdní příchod
26.09	PST	20,00 Kč	1	neomluvený pozdní příchod
26.09	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
13.09	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
30.9	PSP	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
30.9	TK	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
30.9	LM	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
30.9	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
1.10	HK	20,00 Kč	1	neomluvený pozdní příchod
03.09	LM	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
4.10	HK	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
16.10	HK	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
18.10	PS	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
18.10	TCH	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
21.10	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
21.10	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
23.10	PSP	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
24.10	ZM	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
25.10	PS	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
25.10	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
29.10	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
8.11	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
8.11	PSP	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
14.11	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
18.11	PS	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
20.11	ZM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
22.11	PSP	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
25.11	PS	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
25.11	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
26.11	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
26.11	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
5.12	PSP	20,00 Kč	1	neomluvený pozdní příchod
5.12	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
6.12	PSP	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
6.12	RL	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
9.12	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
11.12	HK	(1 600,00 Kč)	1	Terč na šipky
12.12	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
16.12	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
16.12	HK	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
8.01	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
10.01	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
13.01	HK	(80,00 Kč)	1	Hroty šipky
13.01	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
13.01	LM	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
13.01	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
13.01	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
13.01	PSP	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
13.01	LM	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
14.01	PS	20,00 Kč	1	neomluvený pozdní příchod
14.01	TCH	20,00 Kč		neomluvený pozdní příchod
20.01	HK	(80,00 Kč)	1	Nasadky na šipky
23.01	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
23.01	HK	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
6.12	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
27.01	VD	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
27.01	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
27.01	VD	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
29.01	PSP	20,00 Kč	1	neomluvený pozdní příchod
29.01	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
30.01	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
4.02	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
10.02	RL	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
14.02	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
14.02	HK	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
14.02	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
17.02	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
17.02	PSP	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
21.02	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
21.02	VD	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
26.02	VD	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
28.02	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
5.03	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
6.03	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
7.03	PS	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
10.03	TCH	20,00 Kč		neomluvený pozdní příchod
12.03	PS	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
13.03	PS	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
14.03	TCH	20,00 Kč		neomluvený pozdní příchod
17.03	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
21.03	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
21.03	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
24.03	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
24.03	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
27.03	PSP	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
27.03	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
27.03	PSP	20,00 Kč	1	neomluvený pozdní příchod
28.03	PSP	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
28.03	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
31.03	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
1.04	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
3.04	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
7.04	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
7.04	PST	20,00 Kč	1	neomluvený pozdní příchod
7.04	TK	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
14.04	PST	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
16.04	PSP	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
16.04	PSP	20,00 Kč	1	neomluvený pozdní příchod
16.04	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
17.04	PS	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
22.04	RL	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
9.05	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
9.05	VD	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
9.05	TCH	20,00 Kč		neaktualizovaná planning tabulka při kontrole
12.05	LM	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
14.05	TCH	20,00 Kč		neomluvený pozdní příchod
19.05	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
23.05	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
26.05	TCH	20,00 Kč		nepřeplánovaný červený sloupec při kontrole
27.05	TCH	20,00 Kč		neaktualizovaná planning tabulka při kontrole
28.05	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
28.05	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
2.06	VD	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
2.06	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
4.06	PS	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
5.06	HK	(180,00 Kč)	1	ZONky od PS
6.06	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
10.06	HK	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
10.06	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
12.06	VD	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
13.06	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
24.06	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
24.06	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
25.06	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
20.06	HK	(540,00 Kč)	1	TB - nákup nanuků a občerstvení
27.06	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
27.06	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
30.06	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
30.06	PS	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
27.06	RL	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
9.07	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
10.07	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
14.07	VD	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
14.07	PS	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
14.07	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
14.07	TCH	20,00 Kč		nepřeplánovaný červený sloupec při kontrole
21.07	PSP	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
28.07	RL	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
4.08	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
4.08	TK	(2 250,00 Kč)	1	rumy pro HK a PST
6.08	RL	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
13.08	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
14.08	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
15.08	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
15.08	LM	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
15.08	RL	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
18.08	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
20.08	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
21.08	LM	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
25.08	LM	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
25.08	RL	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
1.09	RL	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
1.09	PS	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
1.09	LM	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
3.09	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
4.09	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
5.09	VD	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
8.09	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
8.09	PSP	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
19.09	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
19.09	LM	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
19.09	RL	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
19.09	PS	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
23.09	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
30.09	PSP	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
30.09	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
7.10	PSP	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
10.10	RL	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
16.10	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
17.10	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
17.10	TK	20,00 Kč		neaktualizovaná planning tabulka při kontrole
20.10	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
24.10	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
29.10	VD	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
24.10	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
31.10	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
5.11	PS	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
5.11	LM	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
10.11	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
10.11	PS	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
11.11	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
14.11	PSP	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
14.11	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
21.11	RL	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
24.11	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
24.11	VD	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
24.11	VD	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
24.11	PSP	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
24.11	VD	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
3.12	LM	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
9.12	PSP	20,00 Kč		neaktualizovaná planning tabulka při kontrole
10.12	PS	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
10.12	PSP	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
11.12		(1 605,00 Kč)	1	Bowling
12.12	RN	229,00 Kč	1	Doplatek za bowling
15.12	PSP	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
15.12	PSP	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
15.12	TCH	20,00 Kč		neaktualizovaná planning tabulka při kontrole
18.12	PSP	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
18.12	VD	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
8.01	TK	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
9.01	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
15.01	PSP	20,00 Kč		neaktualizovaná planning tabulka při kontrole
15.01	PSP	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
15.01	PSP	20,00 Kč		neomluvený pozdní příchod
16.01	PS	20,00 Kč		neaktualizovaná planning tabulka při kontrole
19.01	PSP	20,00 Kč		nepřeplánovaný červený sloupec při kontrole
22.01	RL	20,00 Kč		nepřeplánovaný červený sloupec při kontrole
22.01	VD	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
23.01	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
23.01	RL	20,00 Kč		neaktualizovaná planning tabulka při kontrole
28.01	PSP	20,00 Kč		neomluvený pozdní příchod
28.01	PSP	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
2.02	PSP	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
2.02	PSP	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
2.02	TK	20,00 Kč		nepřeplánovaný červený sloupec při kontrole
2.02	PS	20,00 Kč		nepřeplánovaný červený sloupec při kontrole
10.02	PSP	20,00 Kč		neomluvený pozdní příchod
10.02	PSP	20,00 Kč		neaktualizovaná planning tabulka při kontrole
11.02	PS	20,00 Kč		neaktualizovaná planning tabulka při kontrole
11.02	VD	20,00 Kč		neaktualizovaná planning tabulka při kontrole
11.02	VD	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
16.02	PS	20,00 Kč		nepřeplánovaný červený sloupec při kontrole
16.02	RL	20,00 Kč		nepřeplánovaný červený sloupec při kontrole
16.02	RL	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
19.02	VD	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
20.02	PSP	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
23.02	PS	20,00 Kč		nepřeplánovaný červený sloupec při kontrole
24.02	PS	20,00 Kč		neaktualizovaná planning tabulka při kontrole
24.02	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
26.02	PS	20,00 Kč		neaktualizovaná planning tabulka při kontrole
26.02	PSP	20,00 Kč		neaktualizovaná planning tabulka při kontrole
26.02	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
26.02	PSP	20,00 Kč		neaktualizovaná planning tabulka při kontrole
2.03	VD	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
2.03	VD	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
2.03	VD	20,00 Kč		neaktualizovaná planning tabulka při kontrole
4.03	PSP	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
5.03	LM	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
5.03	PS	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
5.03	PSP	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
6.03	TK	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
6.03	PSP	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
6.03	ZM	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
9.03	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
16.03	PSP	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
16.03	PSP	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
19.02	PSP	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
19.02	RL	20,00 Kč		neaktualizovaná planning tabulka při kontrole
20.02	PSP	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
23.02	LM	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
23.03	PSP	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
23.03	PSP	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
23.03	ZM	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
25.03	PSP	20,00 Kč		neaktualizovaná planning tabulka při kontrole
25.03	PSP	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
25.03	VD	20,00 Kč		chybějící výkazy vzhledem k docházce při kontrole
25.03	VD	20,00 Kč		neomluvený pozdní příchod
