face	Iniciála	Částka	Zaplaceno	Poznámka
11.1	JU	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
11.1	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
18.01	MH	20,00 Kč	1	neomluvený pozdní příchod
18.01	JU	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
19.1	JU	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
23.01	MH	20,00 Kč	1	neomluvený pozdní příchod
23.01	TCH	20,00 Kč	1	neomluvený pozdní příchod
23.01	TK	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
23.01	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
23.01	JU	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
25.01	MH	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
25.01	JU	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
25.01	JU	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
26.01	MH	20,00 Kč	1	neomluvený pozdní příchod
26.01	JU	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
26.01	PS	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
30.01	JU	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
30.01	JU	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
30.01	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
31.01	RN	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
1.02	JU	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
2.02	MH	20,00 Kč	1	neomluvený pozdní příchod
3.02	JU	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
6.02	ZM	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
7.02	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
09.02	LM	20,00 Kč	1	neomluvený pozdní příchod
09.02	JU	20,00 Kč	1	neomluvený pozdní příchod
09.02	MH	20,00 Kč	1	neomluvený pozdní příchod
13.02	MH	20,00 Kč	1	neomluvený pozdní příchod
20.02	JU	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
20.02	PSP	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
20.02	PSP	20,00 Kč	1	neomluvený pozdní příchod
21.02	JU	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
21.02	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
22.02	JU	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
22.02	JU	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
23.02	PSP	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
27.02	JU	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
28.02	JU	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
28.02	HK	(390,00 Kč)	1	dárek pro JU
1.03	RN	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
1.03	HK	149,00 Kč	1	inventura
2.03	PS	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
2.03	RN	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
07.03	RN	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
10.03	PS	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
14.03	RN	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
20.03	LM	20,00 Kč	1	nepřeplánovaný červený sloupec
20.03	TCH	20,00 Kč	1	nepřeplánovaný červený sloupec
21.03	PS	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
21.03	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
27.03	MH	- Kč	1	neomluvený pozdní příchod
27.03	LM	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
27.03	PS	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
29.03	RN	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
29.03	RN	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
30.03	HK	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
4.04	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
5.04	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
11.04	RN	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
12.04	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
13.04	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
17.04	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
17.04	HK	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
17.04	LM	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
18.04	TK	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
20.04	PSP	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
20.04	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
24.04	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
3.05	TCH	20,00 Kč	1	neomluvená účast na daily
3.05	RN	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
4.05	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
5.05	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
11.05	RL	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
11.05	MH	- Kč	1	chybějící výkazy vzhledem k docházce při kontrole
12.05	PS	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
12.05	RN	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
15.05	RL	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
15.05	TCH	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
16.05	ZM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
22.05	LM	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
22.05	PSP	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
25.05	LM	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
29.05	LM	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
29.05	TCH	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
30.05	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
30.05	RN	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
2.06	RN	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
